 PHILIPPINES,1
 TONGA,3
ADMIRALTY ISLANDS,1
AFRICA,1
ALGERIA,1
AMERICAN SAMOA,3
ANDAMAN / NICOBAR ISLANDAS,1
ANDAMAN ISLANDS,1
ANGOLA,1
ANTIGUA,2
ARGENTINA,1
ARUBA,1
ASIA?,1
ATLANTIC OCEAN,17
AUSTRALIA,1338
AZORES,5
BAHAMAS,109
BAHREIN,1
BANGLADESH,1
BARBADOS,6
BAY OF BENGAL,1
BELIZE,3
BERMUDA,16
Between PORTUGAL & INDIA,1
BRAZIL,112
BRITISH ISLES,1
BRITISH NEW GUINEA,1
BRITISH VIRGIN ISLANDS,1
BRITISH WEST INDIES,1
BURMA,4
CANADA,12
CAPE VERDE,3
CARIBBEAN SEA,8
CAYMAN ISLANDS,2
CENTRAL PACIFIC,2
CEYLON,3
CEYLON (SRI LANKA),1
CHILE,8
CHINA,7
Coast of AFRICA,1
COLUMBIA,9
COMOROS,1
COOK ISLANDS,1
COSTA RICA,17
CRETE,2
CROATIA,34
CUBA,46
CURACAO,1
CYPRUS,1
DIEGO GARCIA,1
DJIBOUTI,1
DOMINICAN REPUBLIC,7
ECUADOR,9
EGYPT,38
EGYPT ,2
EGYPT / ISRAEL,1
EL SALVADOR,4
ENGLAND,23
EQUATORIAL GUINEA / CAMEROON,1
FALKLAND ISLANDS,1
FEDERATED STATES OF MICRONESIA,1
Fiji,65
FRANCE,13
FRENCH POLYNESIA,25
GABON,1
GEORGIA,1
GHANA,1
GRAND CAYMAN,1
GREECE,25
GREENLAND,1
GRENADA,4
GUAM,4
GUATEMALA,1
GUINEA,3
GULF OF ADEN,1
GUYANA,3
HAITI,3
HONDURAS,4
HONG KONG,24
ICELAND,2
INDIA,40
INDIAN OCEAN,7
INDIAN OCEAN?,1
INDONESIA,23
IRAN,29
IRAN / IRAQ,1
IRAQ,12
IRELAND,1
ISRAEL,7
ITALY,71
ITALY / CROATIA,1
JAMAICA,27
JAPAN,34
JAVA,1
JOHNSTON ISLAND,2
KENYA,10
KIRIBATI,6
KOREA,1
KUWAIT,1
LEBANON,3
LIBERIA,3
LIBYA,6
MADAGASCAR,8
MALAYSIA,5
MALDIVE ISLANDS,1
MALDIVES,1
MALTA,5
MARSHALL ISLANDS,13
MARTINIQUE,3
MAURITIUS,10
MAYOTTE,1
MEDITERRANEAN SEA,2
MEXICO,89
MEXICO ,1
MICRONESIA,3
MID ATLANTIC OCEAN,5
MID-PACIFC OCEAN,1
MONACO,1
MONTENEGRO,3
MOZAMBIQUE,45
NAMIBIA,2
NETHERLANDS ANTILLES,1
NEVIS,1
NEW BRITAIN,6
NEW CALEDONIA,53
NEW GUINEA,10
NEW ZEALAND,128
NICARAGUA,6
NICARAGUA ,1
NIGERIA,4
NORTH ATLANTIC OCEAN,4
NORTH ATLANTIC OCEAN ,1
NORTH PACIFIC OCEAN,7
NORTH SEA,1
NORTHERN ARABIAN SEA,1
NORTHERN MARIANA ISLANDS,1
NORWAY,2
OCEAN,1
OKINAWA,6
PACIFIC OCEAN,17
PACIFIC OCEAN ,2
PALAU,5
PALESTINIAN TERRITORIES,1
PANAMA,32
PAPUA NEW GUINEA,134
PARAGUAY,1
PERSIAN GULF,4
PERU,1
PHILIPPINES,61
PORTUGAL,3
PUERTO RICO,1
RED SEA,1
RED SEA / INDIAN OCEAN,1
RED SEA?,1
REUNION,60
REUNION ISLAND,1
ROATAN,1
RUSSIA,4
SAMOA,8
SAN DOMINGO,1
SAUDI ARABIA,5
SCOTLAND,8
SENEGAL,11
SEYCHELLES,8
Sierra Leone,9
SINGAPORE,6
SLOVENIA,1
SOLOMON ISLANDS,30
SOLOMON ISLANDS / VANUATU,1
SOMALIA,6
SOUTH AFRICA,579
SOUTH ATLANTIC OCEAN,12
SOUTH CHINA SEA,1
SOUTH KOREA,8
SOUTH PACIFIC OCEAN,2
SOUTHWEST PACIFIC OCEAN,2
SPAIN,44
SRI LANKA,14
"ST HELENA, British overseas territory",2
ST. MAARTIN,1
ST. MARTIN,1
SUDAN,4
SUDAN?,1
SWEDEN,1
SYRIA,1
TAIWAN,9
TANZANIA,8
TASMAN SEA,1
THAILAND,8
THE BALKANS,1
TOBAGO,2
TONGA,15
TRINIDAD & TOBAGO,3
TUNISIA,3
TURKEY,12
TURKS & CAICOS,5
TUVALU,1
UNITED ARAB EMIRATES,2
UNITED ARAB EMIRATES (UAE),2
UNITED KINGDOM,11
URUGUAY,4
USA,2228
VANUATU,14
VENEZUELA,11
VIETNAM,15
WEST INDIES,2
WESTERN SAMOA,1
YEMEN,2
YEMEN ,7
(blank),2451
